"","uid","itemNo","valence","chosen_attr_type","internal_node_id","rt","trial_type","nTimeouts","time_elapsed","chosen_attr","timedout","trial_index","response","stimulus","taskNo","trialNo","condition","totalTimeJsPsych","intStartTime","intEndTime","nTrials","ID","interpersonal","category","subcategory","event","internalChosen","globalChosen","internalGlobalChosen","internalSpecificChosen","externalGlobalChosen","externalSpecificChosen"
"13","subCA2_1",2,"negative","external_specific","0.0-2.0-0.2-0.2",12212,"html-button-response-ca",0,224920,"My friend is probably just too busy to respond right now",FALSE,5,1,"You message your friend to ask for advice but they don't reply",0,2,"control",2762320,2096495.39999998,2389026.59999999,64,1,"yes","friends","reaching out","You message your friend to ask for advice but they don't reply",0,0,0,0,0,1
"14","subCA2_1",72,"negative","internal_specific","0.0-2.0-0.20-0.20",17171,"html-button-response-ca",0,532714,"For this speech, my ideas weren't put together very well",FALSE,24,3,"You speak during a community meeting but feel like people aren't interested in what you have to say",0,20,"control",2762320,2096495.39999998,2389026.59999999,64,1,"yes","contemporaries (not known well)","feedback/responsibility","You speak during a community meeting but feel like people aren't interested in what you have to say",1,0,0,1,0,0
"15","subCA2_1",74,"negative","internal_specific","0.0-2.0-0.21-0.21",10870,"html-button-response-ca",0,545092,"On this occasion, I wasn't paying enough attention",FALSE,25,3,"You washed your clothes on the wrong setting and the colours have run",0,21,"control",2762320,2096495.39999998,2389026.59999999,64,1,"no","general functioning (everyday life: easier task)","self-care","You washed your clothes on the wrong setting and the colours have run",1,0,0,1,0,0
"16","subCA2_1",79,"negative","external_specific","0.0-2.0-0.22-0.22",22370,"html-button-response-ca",0,568991,"My friend was probably busy that day thinking about something else",FALSE,26,0,"You see a very close friend and wave at them but they don't wave back",0,22,"control",2762320,2096495.39999998,2389026.59999999,64,1,"yes","close relationship","reaching out","You see a very close friend and wave at them but they don't wave back",0,0,0,0,0,1
"17","subCA2_1",93,"positive","internal_specific","0.0-2.0-0.23-0.23",14967,"html-button-response-ca",0,585490,"For this piece of work, I probably tried particularly hard",FALSE,27,1,"A colleague comments on the high quality of your recent work",0,23,"control",2762320,2096495.39999998,2389026.59999999,64,1,"no","general performance (job)","semi-social","A colleague comments on the high quality of your recent work",1,0,0,1,0,0
"18","subCA2_1",99,"negative","external_specific","0.0-2.0-0.24-0.24",18105,"html-button-response-ca",0,605115,"Someone else probably campaigned to be nominated, so was put forward this time",FALSE,28,1,"You want to be nominated for a role in your local community group but no one suggests you",0,24,"control",2762320,2096495.39999998,2389026.59999999,64,1,"yes","contemporaries (not known well)","feedback/responsibility","You want to be nominated for a role in your local community group but no one suggests you",0,0,0,0,0,1
"19","subCA2_1",101,"positive","internal_specific","0.0-2.0-0.25-0.25",17719,"html-button-response-ca",0,624350,"Recently, I have been friendly to this particular colleague",FALSE,29,1,"Someone from work tells you they would like to be on your team for a work social event",0,25,"control",2762320,2096495.39999998,2389026.59999999,64,1,"yes","colleagues","reaching out","Someone from work tells you they would like to be on your team for a work social event",1,0,0,1,0,0
"20","subCA2_1",104,"positive","internal_specific","0.0-2.0-0.26-0.26",12335,"html-button-response-ca",0,638219,"I probably made an effort to check up on this particular person recently",FALSE,30,3,"Someone you care about takes time out of their busy day to check in on you ",0,26,"control",2762320,2096495.39999998,2389026.59999999,64,1,"yes","close relationship","reaching out","Someone you care about takes time out of their busy day to check in on you",1,0,0,1,0,0
"21","subCA2_1",105,"negative","internal_specific","0.0-2.0-0.27-0.27",21221,"html-button-response-ca",0,660951,"On this occasion, I let myself be distracted by something unimportant",FALSE,31,0,"You forget you have put dinner in the oven and it burns",0,27,"control",2762320,2096495.39999998,2389026.59999999,64,1,"no","general functioning (everyday life: easier task)","self-care","You forget you put dinner in the oven and it burns",1,0,0,1,0,0
"22","subCA2_1",112,"negative","external_global","0.0-2.0-0.28-0.28",13003,"html-button-response-ca",0,675475,"People often carelessly say things about others when they think they can't hear them",FALSE,32,1,"You overhear a colleague telling someone else they don't like you",0,28,"control",2762320,2096495.39999998,2389026.59999999,64,1,"yes","colleagues","personal qualities","You overhear a colleague telling someone else they don't like you",0,1,0,0,1,0
"23","subCA2_1",113,"positive","internal_global","0.0-2.0-0.29-0.29",30381,"html-button-response-ca",0,707373,"I'm the sort of person who's opinion people value",FALSE,33,3,"A colleague tells you they particularly appreciate your feedback on their work, as it is valuable",0,29,"control",2762320,2096495.39999998,2389026.59999999,64,1,"yes","colleagues","personal qualities","A colleague tells you they particularly appreciate your feedback on their work, as it is valuable",1,1,1,0,0,0
"24","subCA2_1",3,"negative","internal_global","0.0-2.0-0.3-0.3",16168,"html-button-response-ca",0,242602,"I'm hopeless at remembering things",FALSE,6,0,"You return from the shops without something important from your shopping list",0,3,"control",2762320,2096495.39999998,2389026.59999999,64,1,"no","general functioning (everyday life: harder task)","life activities","You return from the shops without something important from your shopping list",1,1,1,0,0,0
"25","subCA2_1",116,"positive","internal_specific","0.0-2.0-0.30-0.30",13337,"html-button-response-ca",0,722241,"I worked hard on a recent piece of work",FALSE,34,0,"You find out a colleague has nominated you for a performance award at work",0,30,"control",2762320,2096495.39999998,2389026.59999999,64,1,"no","formal assessment (job)","semi-social","You find out a colleague has nominated you for a performance award at work",1,0,0,1,0,0
"26","subCA2_1",127,"positive","internal_specific","0.0-2.0-0.31-0.31",15747,"html-button-response-ca",0,739492,"I worked hard on this presentation so it turned out well",FALSE,35,3,"You present your work during your evening class and get lots of praise from your classmates",0,31,"control",2762320,2096495.39999998,2389026.59999999,64,1,"yes","contemporaries (not known well)","feedback/responsibility","You present your work during your evening class and get lots of praise from your classmates",1,0,0,1,0,0
"27","subCA2_1",5,"negative","internal_specific","0.0-2.0-0.4-0.4",14279,"html-button-response-ca",0,258412,"Recently, I haven't made much effort with people in my neighbourhood",FALSE,7,2,"You'd like to be more engaged in your local community",0,4,"control",2762320,2096495.39999998,2389026.59999999,64,1,"no","general functioning (everyday life: harder task)","getting along (semi-social)","You'd like to be more engaged in your local community",1,0,0,1,0,0
"28","subCA2_1",7,"negative","external_specific","0.0-2.0-0.5-0.5",18203,"html-button-response-ca",0,278133,"There probably happened to be a better suggestion put forward that day",FALSE,8,3,"Your suggestion for a community social event receives the lowest number of votes",0,5,"control",2762320,2096495.39999998,2389026.59999999,64,1,"yes","contemporaries (not known well)","feedback/responsibility","Your suggestion for a community social event receives the lowest number of votes",0,0,0,0,0,1
"29","subCA2_1",8,"positive","external_global","0.0-2.0-0.6-0.6",17862,"html-button-response-ca",0,297514,"People are generally positive in work feedback",FALSE,9,1,"You receive anonymised feedback on your work performance by colleagues, and it's very complimentary",0,6,"control",2762320,2096495.39999998,2389026.59999999,64,1,"no","formal assessment (job)","non-social","You receive anonymised feedback on your work performance by colleagues, and it's very complimentary",0,1,0,0,1,0
"30","subCA2_1",13,"negative","external_global","0.0-2.0-0.7-0.7",15584,"html-button-response-ca",0,314616,"There are always people you can't invite to given occasion",FALSE,10,3,"Someone you feel very close to is having a birthday dinner but hasn't invited you",0,7,"control",2762320,2096495.39999998,2389026.59999999,64,1,"yes","close relationship","reaching out","Someone you feel very close to is having a birthday dinner but hasn't invited you",0,1,0,0,1,0
"31","subCA2_1",15,"positive","internal_global","0.0-2.0-0.8-0.8",11244,"html-button-response-ca",0,327379,"I'm good at my job",FALSE,11,3,"You find out that your manager wants to put you forward for promotion at work",0,8,"control",2762320,2096495.39999998,2389026.59999999,64,1,"no","general performance (job)","non-social","You find out that your manager wants to put you forward for promotion at work",1,1,1,0,0,0
"32","subCA2_1",17,"negative","external_specific","0.0-2.0-0.9-0.9",12490,"html-button-response-ca",0,341387,"They were probably preoccupied and didn't see me",FALSE,12,3,"You smile at someone across the street you recognise, but they don't smile back",0,9,"control",2762320,2096495.39999998,2389026.59999999,64,1,"yes","contemporaries (not known well)","reaching out","You smile at someone across the street you recognise, but they don't smile back",0,0,0,0,0,1
"33","subCA2_1",11,"positive","internal_specific","0.0-20.0-0.0-0.0",8253,"html-button-response-ca",0,2345988,"On this occasion, I knew a lot about the topics that came up",FALSE,190,1,"You take part in a quiz at work and get lots of answers right, so your team wins",1,0,"control",2762320,2096495.39999998,2389026.59999999,64,1,"no","formal assessment (academic)","semi-social","You take part in a quiz at work and get lots of answers right, so your team wins",1,0,0,1,0,0
"34","subCA2_1",21,"positive","internal_specific","0.0-20.0-0.1-0.1",14166,"html-button-response-ca",0,2361666,"I can usually get my head around straightforward problems",FALSE,191,1,"Your neighbour asks you to help them with their maths homework, and you do a good job explaining the problems to them",1,1,"control",2762320,2096495.39999998,2389026.59999999,64,1,"no","general performance (academic)","semi-social","Your neighbour asks you to help them with their maths homework, and you do a good job explaining the problems to them",1,0,0,1,0,0
"35","subCA2_1",47,"negative","external_global","0.0-20.0-0.10-0.10",9129,"html-button-response-ca",0,2476092,"Everyone has different senses of humour",FALSE,200,3,"Someone you are close to tells you you are not funny",1,10,"control",2762320,2096495.39999998,2389026.59999999,64,1,"yes","close relationship","personal qualities","Someone you are close to tells you you are not funny",0,1,0,0,1,0
"36","subCA2_1",53,"positive","internal_global","0.0-20.0-0.11-0.11",13193,"html-button-response-ca",0,2490805,"People I work with generally respect my judgement",FALSE,201,1,"Someone you work with tells you they trust your judgement",1,11,"control",2762320,2096495.39999998,2389026.59999999,64,1,"yes","colleagues","personal qualities","Someone you work with tells you they trust your judgement",1,1,1,0,0,0
"37","subCA2_1",55,"negative","external_global","0.0-20.0-0.12-0.12",13941,"html-button-response-ca",0,2506252,"It's often the case that people accidentally disclose others' secrets",FALSE,202,3,"Someone you care about deeply has disclosed something you told them in confidence to someone else",1,12,"control",2762320,2096495.39999998,2389026.59999999,64,1,"yes","close relationship","reaching out","Someone you care about deeply has disclosed something you told them in confidence to someone else",0,1,0,0,1,0
"38","subCA2_1",56,"positive","internal_global","0.0-20.0-0.13-0.13",13016,"html-button-response-ca",0,2520777,"I'm the kind of person people look up to",FALSE,203,2,"Someone you are close to tells you they consider you a role model",1,13,"control",2762320,2096495.39999998,2389026.59999999,64,1,"yes","close relationship","personal qualities","Someone you are close to tells you they consider you a role model",1,1,1,0,0,0
"39","subCA2_1",59,"negative","external_global","0.0-20.0-0.14-0.14",11408,"html-button-response-ca",0,2533692,"It's not uncommon for people to let off steam by talking about their colleagues",FALSE,204,1,"You overhear someone at work talking about you behind your back",1,14,"control",2762320,2096495.39999998,2389026.59999999,64,1,"yes","colleagues","personal qualities","You overhear someone at work talking about you behind your back",0,1,0,0,1,0
"40","subCA2_1",61,"negative","internal_specific","0.0-20.0-0.15-0.15",13298,"html-button-response-ca",0,2548497,"On this occasion, I probably didn't spend enough time preparing",FALSE,205,2,"You give a presentation at work and it seems like no one is paying attention",1,15,"control",2762320,2096495.39999998,2389026.59999999,64,1,"no","general performance (job)","semi-social","You give a presentation at work and it seems like no one is paying attention",1,0,0,1,0,0
"41","subCA2_1",67,"negative","external_global","0.0-20.0-0.16-0.16",12155,"html-button-response-ca",0,2564747,"Sometimes people are too busy or preocuppied to be as good a friend as they'd like",FALSE,207,0,"You ask a friend for help with something important but they say they are too busy",1,16,"control",2762320,2096495.39999998,2389026.59999999,64,1,"yes","friends","reaching out","You ask a friend for help with something important but they say they are too busy",0,1,0,0,1,0
"42","subCA2_1",73,"positive","internal_global","0.0-20.0-0.17-0.17",4578,"html-button-response-ca",0,2570836,"I'm good at my job",FALSE,208,1,"You receive an excellent performance evaluation from your boss",1,17,"control",2762320,2096495.39999998,2389026.59999999,64,1,"no","formal assessment (job)","semi-social","You receive an excellent performance evaluation from your boss",1,1,1,0,0,0
"43","subCA2_1",75,"negative","external_specific","0.0-20.0-0.18-0.18",14090,"html-button-response-ca",0,2586437,"My friend is probably having a difficult time right now and is looking for more support from me",FALSE,209,1,"A friend tells you that you are being difficult",1,18,"control",2762320,2096495.39999998,2389026.59999999,64,1,"yes","friends","personal qualities","A friend tells you that you are being difficult",0,0,0,0,0,1
"44","subCA2_1",76,"negative","internal_specific","0.0-20.0-0.19-0.19",10433,"html-button-response-ca",0,2598377,"I haven't been making as much effort at work as I could have recently",FALSE,210,0,"You find out that colleague has scored you poorly on a a performance evaluation",1,19,"control",2762320,2096495.39999998,2389026.59999999,64,1,"no","formal assessment (job)","semi-social","You find out that colleague has scored you poorly on a a performance evaluation",1,0,0,1,0,0
"45","subCA2_1",25,"negative","internal_specific","0.0-20.0-0.2-0.2",11401,"html-button-response-ca",0,2374587,"At the time, I probably wasn't concentrating enough on what I was doing",FALSE,192,2,"You start doing the washing up but drop and smash a plate",1,2,"control",2762320,2096495.39999998,2389026.59999999,64,1,"no","general functioning (everyday life: easier task)","self-care","You start doing the washing up but drop and smash a plate",1,0,0,1,0,0
"46","subCA2_1",77,"positive","external_specific","0.0-20.0-0.20-0.20",23256,"html-button-response-ca",0,2623164,"This particular test probably wasn't actually that difficult",FALSE,211,0,"You find out you passed a difficult test for a professional qualification you wanted",1,20,"control",2762320,2096495.39999998,2389026.59999999,64,1,"no","formal assessment (academic)","non-social","You find out you passed a difficult test for a professional qualification you wanted",0,0,0,0,0,1
"47","subCA2_1",78,"positive","internal_specific","0.0-20.0-0.21-0.21",8904,"html-button-response-ca",0,2633575,"Recently, I have spent a lot of time with this particular person",FALSE,212,2,"A friend tells you you are a good friend to them",1,21,"control",2762320,2096495.39999998,2389026.59999999,64,1,"yes","friends","personal qualities","A friend tells you you are a good friend to them",1,0,0,1,0,0
"48","subCA2_1",83,"negative","external_global","0.0-20.0-0.22-0.22",14014,"html-button-response-ca",0,2649107,"Other people aren't always very good at recognising each others' contributions",FALSE,213,0,"You aren't nominated for an award recognizing contribution to workplace culture",1,22,"control",2762320,2096495.39999998,2389026.59999999,64,1,"yes","colleagues","personal qualities","You aren't nominated for an award recognizing contribution to workplace culture",0,1,0,0,1,0
"49","subCA2_1",84,"positive","internal_global","0.0-20.0-0.23-0.23",12834,"html-button-response-ca",0,2663460,"Even people I don't know that well generally think well of me",FALSE,214,1,"Someone from work tells you they consider you trustworthy",1,23,"control",2762320,2096495.39999998,2389026.59999999,64,1,"yes","colleagues","personal qualities","Someone from work tells you they consider you trustworthy",1,1,1,0,0,0
"50","subCA2_1",97,"negative","external_specific","0.0-20.0-0.24-0.24",11380,"html-button-response-ca",0,2676361,"This week, there happened to be more important things happening",FALSE,215,2,"You find yourself struggling to meet your targets at work",1,24,"control",2762320,2096495.39999998,2389026.59999999,64,1,"no","general performance (job)","non-social","You find yourself struggling to meet your targets at work",0,0,0,0,0,1
"51","subCA2_1",100,"negative","external_specific","0.0-20.0-0.25-0.25",7002,"html-button-response-ca",0,2684884,"This person is probably not able to respond right now (e.g., they are unwell or away)",FALSE,216,2,"Someone you care deeply about is not responding to your calls and messages",1,25,"control",2762320,2096495.39999998,2389026.59999999,64,1,"yes","close relationship","reaching out","Someone you care deeply about is not responding to your calls and messages",0,0,0,0,0,1
"52","subCA2_1",102,"positive","internal_global","0.0-20.0-0.26-0.26",11675,"html-button-response-ca",0,2698065,"People are interested in what I have to say",FALSE,217,1,"A letter you have written to the newspaper is selected to be published",1,26,"control",2762320,2096495.39999998,2389026.59999999,64,1,"no","formal assessment (academic)","non-social","A letter you have written to the newspaper is selected to be published",1,1,1,0,0,0
"53","subCA2_1",108,"negative","external_specific","0.0-20.0-0.27-0.27",14984,"html-button-response-ca",0,2714557,"My friend thought I wasn't free on this specific date",FALSE,218,1,"You find out a friend is having a party but hasn't invited you",1,27,"control",2762320,2096495.39999998,2389026.59999999,64,1,"yes","friends","reaching out","You find out a friend is having a party but hasn't invited you",0,0,0,0,0,1
"54","subCA2_1",110,"positive","internal_global","0.0-20.0-0.28-0.28",13571,"html-button-response-ca",0,2729634,"People I'm close to think well of me",FALSE,219,0,"Someone you are close to tells you they wish they were more like you",1,28,"control",2762320,2096495.39999998,2389026.59999999,64,1,"yes","close relationship","personal qualities","Someone you are close to tells you they wish they were more like you",1,1,1,0,0,0
"55","subCA2_1",115,"positive","internal_global","0.0-20.0-0.29-0.29",6298,"html-button-response-ca",0,2737450,"My friends think highly of me",FALSE,220,0,"A friend tells you you are a good person",1,29,"control",2762320,2096495.39999998,2389026.59999999,64,1,"yes","friends","personal qualities","A friend tells you you are a good person",1,1,1,0,0,0
"56","subCA2_1",28,"positive","internal_specific","0.0-20.0-0.3-0.3",9473,"html-button-response-ca",0,2385587,"On this occasion, I made some good points",FALSE,193,3,"You speak during a neighbourhood association meeting and receive applause",1,3,"control",2762320,2096495.39999998,2389026.59999999,64,1,"yes","contemporaries (not known well)","feedback/responsibility","You speak during a neighbourhood association meeting and receive applause",1,0,0,1,0,0
"57","subCA2_1",120,"positive","internal_global","0.0-20.0-0.30-0.30",11764,"html-button-response-ca",0,2750732,"My friends care about me",FALSE,221,0,"A friend calls you up out of the blue to see how you are",1,30,"control",2762320,2096495.39999998,2389026.59999999,64,1,"yes","friends","reaching out","A friend calls you up out of the blue to see how you are",1,1,1,0,0,0
"58","subCA2_1",125,"negative","internal_specific","0.0-20.0-0.31-0.31",10070,"html-button-response-ca",0,2762319,"I probably didn't spend enough time studying for the test",FALSE,222,0,"You find out that you didn't pass a test you took that counts towards a professional exam",1,31,"control",2762320,2096495.39999998,2389026.59999999,64,1,"no","formal assessment (academic)","non-social","You find out that you didn't pass a test you took that counts towards a professional exam",1,0,0,1,0,0
"59","subCA2_1",29,"positive","internal_specific","0.0-20.0-0.4-0.4",9248,"html-button-response-ca",0,2396365,"I seem to click well with this particular person",FALSE,194,0,"A colleague tells you they like your company",1,4,"control",2762320,2096495.39999998,2389026.59999999,64,1,"yes","colleagues","personal qualities","A colleague tells you they like your company",1,0,0,1,0,0
"60","subCA2_1",31,"positive","internal_specific","0.0-20.0-0.5-0.5",12399,"html-button-response-ca",0,2410272,"Recently I did something my friend is impressed by",FALSE,195,2,"Someone you are close to tells you that they admire you",1,5,"control",2762320,2096495.39999998,2389026.59999999,64,1,"yes","close relationship","personal qualities","Someone you are close to tells you that they admire you",1,0,0,1,0,0
"61","subCA2_1",35,"positive","internal_specific","0.0-20.0-0.6-0.6",9765,"html-button-response-ca",0,2421555,"I'm generally OK at this kind of puzzle",FALSE,196,3,"You complete today's crossword easily",1,6,"control",2762320,2096495.39999998,2389026.59999999,64,1,"no","general performance (academic)","non-social","You complete today's crossword easily",1,0,0,1,0,0
"62","subCA2_1",37,"negative","external_specific","0.0-20.0-0.7-0.7",14949,"html-button-response-ca",0,2438021,"This problem was too complicated to work out without writing everything out",FALSE,197,1,"You struggle to work out what everyone needs to pay when booking a work activity",1,7,"control",2762320,2096495.39999998,2389026.59999999,64,1,"no","formal assessment (academic)","semi-social","You struggle to work out what everyone needs to pay when booking a work activity",0,0,0,0,0,1
"63","subCA2_1",44,"negative","external_specific","0.0-20.0-0.8-0.8",9808,"html-button-response-ca",0,2449350,"My colleagues probably thought I was too busy at the time",FALSE,198,0,"You discover that you haven't been invited to an after-work social event",1,8,"control",2762320,2096495.39999998,2389026.59999999,64,1,"yes","colleagues","reaching out","You discover that you haven't been invited to an after-work social event",0,0,0,0,0,1
"64","subCA2_1",45,"negative","external_specific","0.0-20.0-0.9-0.9",14585,"html-button-response-ca",0,2465444,"On this occasion, people may have been preocuppied with something else (e.g., their own presentations)",FALSE,199,0,"You present your work to the rest of your evening class but it doesn't receive much positive feedback",1,9,"control",2762320,2096495.39999998,2389026.59999999,64,1,"yes","contemporaries (not known well)","feedback/responsibility","You present your work to the rest of your evening class but it doesn't receive much positive feedback",0,0,0,0,0,1
"65","subCA2_2",0,"negative","internal_specific","0.0-2.0-0.0-0.0",7081,"html-button-response-ca",0,293980,"I probably did something recently to annoy them",FALSE,3,3,"You find out that someone you consider a friend has talked about you negatively behind your back",0,0,"control",1873104,1562604.7,1924965.7,64,2,"yes","friends","personal qualities","You find out that someone you consider a friend has talked about you negatively behind your back",1,0,0,1,0,0
"66","subCA2_2",1,"positive","external_specific","0.0-2.0-0.1-0.1",6641,"html-button-response-ca",0,302145,"This person is probably trying to make a good impression for some reason",FALSE,4,2,"Someone from work invites you out for a cup of coffee",0,1,"control",1873104,1562604.7,1924965.7,64,2,"yes","colleagues","reaching out","Someone from work invites you out for a cup of coffee",0,0,0,0,0,1
"67","subCA2_2",18,"negative","internal_global","0.0-2.0-0.10-0.10",4937,"html-button-response-ca",0,371967,"I'm disorganised and inefficient",FALSE,13,3,"You didn't get the amount of work done you needed to",0,10,"control",1873104,1562604.7,1924965.7,64,2,"no","general performance (job)","non-social","You didn't get the amount of work done you needed to",1,1,1,0,0,0
"68","subCA2_2",22,"negative","external_global","0.0-2.0-0.11-0.11",10843,"html-button-response-ca",0,384316,"People don't always remember to include everyone they mean to invite to something",FALSE,14,1,"You walk past a cafe close to work and see your some of your colleagues are meeting for lunch without you",0,11,"control",1873104,1562604.7,1924965.7,64,2,"yes","colleagues","reaching out","You walk past a cafe close to work and see your some of your colleagues are meeting for lunch without you",0,1,0,0,1,0
"69","subCA2_2",24,"positive","internal_global","0.0-2.0-0.12-0.12",8358,"html-button-response-ca",0,394196,"I'm funny",FALSE,15,0,"A friend tells you you make them laugh",0,12,"control",1873104,1562604.7,1924965.7,64,2,"yes","friends","personal qualities","A friend tells you you make them laugh",1,1,1,0,0,0
"70","subCA2_2",32,"positive","internal_global","0.0-2.0-0.13-0.13",4336,"html-button-response-ca",0,400054,"I'm the kind of friend people value",FALSE,16,2,"A friend tells you speaking with you always makes them feel better",0,13,"control",1873104,1562604.7,1924965.7,64,2,"yes","friends","personal qualities","A friend tells you speaking with you always makes them feel better",1,1,1,0,0,0
"71","subCA2_2",39,"positive","internal_specific","0.0-2.0-0.14-0.14",8730,"html-button-response-ca",0,410300,"Recently, I've been performing well in my job",FALSE,17,1,"You find out that you have been put forward for a leadership position at work",0,14,"control",1873104,1562604.7,1924965.7,64,2,"no","formal assessment (job)","non-social","You find out that you have been put forward for a leadership position at work",1,0,0,1,0,0
"72","subCA2_2",41,"negative","internal_specific","0.0-2.0-0.15-0.15",11493,"html-button-response-ca",0,423308,"I probably submitted my application incorrectly somehow",FALSE,18,1,"You submitted an application to join a local community forum but haven't heard anything back",0,15,"control",1873104,1562604.7,1924965.7,64,2,"no","general functioning (everyday life: easier task)","getting along (semi-social)","You submited an application to join a local community forum but haven't heard anything back",1,0,0,1,0,0
"73","subCA2_2",43,"positive","internal_specific","0.0-2.0-0.16-0.16",8203,"html-button-response-ca",0,438406,"Recently, I have made an effort to be there for this particular friend",FALSE,20,1,"Someone you are close to has sent you a card thanking you for being there for them during a difficult time",0,16,"control",1873104,1562604.7,1924965.7,64,2,"yes","close relationship","reaching out","Someone you are close to has sent you a card thanking you for being there for them during a difficult time",1,0,0,1,0,0
"74","subCA2_2",54,"positive","internal_specific","0.0-2.0-0.17-0.17",3839,"html-button-response-ca",0,443764,"On this particular occasion, I did a good job",FALSE,21,2,"You find out someone has contacted your employer to praise work you did for them",0,17,"control",1873104,1562604.7,1924965.7,64,2,"no","general performance (job)","semi-social","You find out someone has contacted your employer to praise work you did for them",1,0,0,1,0,0
