item,valence,interpersonal,category,subcategory,event
50,negative,no,general functioning (everyday life: harder task),life activities,You wanted to sign up for an evening class but realise you have missed the deadline
51,negative,no,general functioning (everyday life: easier task),self-care,You realise you forgot to hang out yesterday's washing
52,positive,yes,friends,reaching out,"A friend sends you flowers, for no particular reason"
53,negative,no,general functioning (everyday life: harder task),cognitive; getting around,You try taking a new short-cut home but end up getting lost
54,positive,yes,colleagues,personal qualities,Someone you work with tells you they trust your judgement
55,positive,no,general performance (job),semi-social,You find out someone has contacted your employer to praise work you did for them
56,negative,yes,close relationship,reaching out,Someone you care about deeply has disclosed something you told them in confidence to someone else
57,positive,yes,close relationship,personal qualities,Someone you are close to tells you they consider you a role model
58,positive,yes,colleagues,reaching out,A colleague you don't know that well chooses to sit with you at lunch
59,negative,yes,contemporaries (not known well),reaching out,You feel like you don't know your neighbours as well as you'd like to
60,negative,yes,colleagues,personal qualities,You overhear someone at work talking about you behind your back
61,negative,no,formal assessment (job),non-social,Everyone at work is asked to do a lateral thinking test and you score poorly
62,negative,no,general performance (job),semi-social,You give a presentation at work and it seems like no one is paying attention
63,positive,no,general functioning (everyday life: harder task),life activities,You practice saying some phrases of a new language you are trying to learn
64,positive,no,general functioning (everyday life: harder task),cognitive; getting around,You manage to navigate a new route home without help
65,positive,yes,friends,reaching out,A friend has sent you a postcard
66,positive,yes,close relationship,reaching out,"Someone you are close has sent you a gift, for no particular occasion"
67,negative,no,general functioning (everyday life: harder task),cognitive; life activities,You need to fill in some complicated tax forms but end up not finishing them
68,negative,yes,friends,reaching out,You ask a friend for help with something important but they say they are too busy
69,positive,yes,close relationship,personal qualities,Someone you are close to tells you they trust you
70,negative,yes,contemporaries (not known well),reaching out,"You notice that people from your year at school are having a lively conversation online, that you are not part of"
71,positive,no,general functioning (everyday life: easier task),self-care,You put away and fold a load of laundry
72,negative,no,formal assessment (academic),non-social,You attempt a sudoko puzzle but can't finish it
73,negative,yes,contemporaries (not known well),feedback/responsibility,You speak during a community meeting but feel like people aren't interested in what you have to say
74,positive,no,formal assessment (job),semi-social,You receive an excellent performance evaluation from your boss
75,negative,no,general functioning (everyday life: easier task),self-care,You washed your clothes on the wrong setting and the colours have run
76,negative,yes,friends,personal qualities,A friend tells you that you are being difficult
77,negative,no,formal assessment (job),semi-social,You find out that colleague has scored you poorly on a a performance evaluation
78,positive,no,formal assessment (academic),non-social,You find out you passed a difficult test for a professional qualification you wanted
79,positive,yes,friends,personal qualities,A friend tells you you are a good friend to them
80,negative,yes,close relationship,reaching out,You see a very close friend and wave at them but they don't wave back
81,negative,no,general performance (job),semi-social,You found out someone has complained to your employer about the quality of your work
82,positive,yes,colleagues,reaching out,A colleague particularly seeks you out to be on their team for an activity
83,negative,no,general functioning (everyday life: easier task),life activities,You feel like you'd like to have more hobbies
84,negative,yes,colleagues,personal qualities,You aren't nominated for an award recognizing contribution to workplace culture
85,positive,yes,colleagues,personal qualities,Someone from work tells you they consider you trustworthy
86,positive,no,general functioning (everyday life: harder task),cognitive; life activities,You do a large weekly shop and remember to get everything on your list
87,positive,no,general functioning (everyday life: easier task),life activities,You fix something around the house that you have been meaning to get done for a while
88,negative,yes,close relationship,personal qualities,Someone you are very close to doesn't ask you to speak at their wedding
89,negative,yes,colleagues,reaching out,No one sits with you during your lunch break at work
90,negative,no,general performance (academic),non-social,You are trying to learn a new language but can't seem to recall any phrases today
91,positive,yes,contemporaries (not known well),feedback/responsibility,You are asked to consider stepping forward to be a representative of your local community
92,positive,no,general functioning (everyday life: harder task),getting along (semi-social),You ask for directions from a stranger and sucessfully follow them
93,negative,no,general functioning (everyday life: harder task),getting along (semi-social),You ask for help in a shop but feel the assistant ignores you
94,positive,no,general performance (job),semi-social,A colleague comments on the high quality of your recent work
95,positive,yes,contemporaries (not known well),reaching out,Someone you met in an art class messages you to ask how you are
96,positive,no,general performance (academic),non-social,You manage to solve a difficult puzzle in the weekend paper
97,positive,no,general functioning (everyday life: harder task),getting along (semi-social),You volunteer to join a local community organisation
98,negative,no,general performance (job),non-social,You find yourself struggling to meet your targets at work
99,negative,no,formal assessment (job),semi-social,You had hoped to be nominated for an award at work but no one put you forward
100,negative,yes,contemporaries (not known well),feedback/responsibility,You want to be nominated for a role in your local community group but no one suggests you
101,negative,yes,close relationship,reaching out,Someone you care deeply about is not responding to your calls and messages
102,positive,yes,colleagues,reaching out,Someone from work tells you they would like to be on your team for a work social event
103,positive,no,formal assessment (academic),non-social,A letter you have written to the newspaper is selected to be published
104,negative,yes,close relationship,personal qualities,"You tell someone you are close to that you respect them, but they don't tell you the same back"
105,positive,yes,close relationship,reaching out,Someone you care about takes time out of their busy day to check in on you
106,negative,no,general functioning (everyday life: easier task),self-care,You forget you put dinner in the oven and it burns
107,negative,no,general functioning (everyday life: easier task),getting along (semi-social),You are trying to find something in a shop but fail to get anyone's attention
108,positive,no,general functioning (everyday life: easier task),self-care,You put together a simple dinner you have cooked several times before
109,negative,yes,friends,reaching out,You find out a friend is having a party but hasn't invited you
110,positive,no,general performance (job),non-social,"You have been working on a difficult project at work, but manage to get everything done you need to"
111,positive,yes,close relationship,personal qualities,Someone you are close to tells you they wish they were more like you
112,negative,no,general functioning (everyday life: easier task),life activities,You wish you had time to learn a new language or skill
113,negative,yes,colleagues,personal qualities,You overhear a colleague telling someone else they don't like you
114,positive,yes,colleagues,personal qualities,"A colleague tells you they particularly appreciate your feedback on their work, as it is valuable"
115,positive,no,general functioning (everyday life: easier task),life activities,You attend a taster session for a new hobby you are interested in starting
116,positive,yes,friends,personal qualities,A friend tells you you are a good person
117,positive,no,formal assessment (job),semi-social,You find out a colleague has nominated you for a performance award at work
118,positive,yes,contemporaries (not known well),reaching out,A neighbour invites you in to their house to chat
119,negative,no,general performance (academic),semi-social,You try and work out in your head how much each person needs to pay for dinner but can't
120,negative,yes,friends,personal qualities,A friend tells you they don't think you are honest
121,positive,yes,friends,reaching out,A friend calls you up out of the blue to see how you are
122,negative,yes,colleagues,reaching out,"At a work-related social event, people are slow to volunteer to be on your team"
123,negative,no,general functioning (everyday life: harder task),cognitive; getting around,You take the wrong transport on the way to an appoinment and so arrive late
124,positive,no,general performance (academic),semi-social,"You need to split the bill for lunch, and correctly work out what everybody owes in your head"
125,positive,no,general functioning (everyday life: harder task),cognitive; getting around,You sucessfully remember the route to somewhere you've only been once before
126,negative,no,formal assessment (academic),non-social,You find out that you didn't pass a test you took that counts towards a professional exam
127,negative,yes,contemporaries (not known well),reaching out,Someone you were at school with ignores your request to connect on social media
128,positive,yes,contemporaries (not known well),feedback/responsibility,You present your work during your evening class and get lots of praise from your classmates
