"","uid","block2answer","block0answer","block3answer","block1answer","interventionQuizAnswer","interventionReadingTime"
"46","subRE1_46",94,98,73,21,"C",18.8750333333333
"47","subRE1_47",50,42,60,42,"C",82.7336166666667
"48","subRE1_48",55,55,57,55,"C",21.2454666666667
"49","subRE1_49",20,54,39,29,"C",16.1828666666667
"50","subRE1_50",80,80,50,40,"C",18.7273333333333
"51","subRE1_51",58,70,20,68,"C",19.8559166666667
"52","subRE1_52",67,65,69,65,"C",20.8653166666667
"53","subRE1_53",67,65,69,65,"C",29.3708166666667
"54","subRE1_54",40,40,40,40,"C",16.7061833333333
"55","subRE1_55",55,50,57,53,"C",19.96615
"56","subRE1_56",60,50,60,60,"C",17.5925666666667
"57","subRE1_57",57,52,59,56,"C",27.6321
"58","subRE1_58",47,25,50,45,"C",20.3327
"59","subRE1_59",27,40,30,15,"C",21.1957
"60","subRE1_60",55,50,55,55,"C",21.5113166666667
"61","subRE1_61",81,75,61,88,"C",15.0231833333333
"62","subRE1_62",50,50,52,48,"C",37.24065
"63","subRE1_63",40,50,47,30,"C",15.9466833333333
"64","subRE1_64",43,55,59,54,"C",17.9921833333333
"65","subRE1_65",86,94,56,81,"C",13.91405
"66","subRE1_66",65,64,61,65,"C",31.6441666666667
"67","subRE1_67",55,42,39,51,"C",15.0439
"68","subRE1_68",54,66,43,83,"C",18.3187
"69","subRE1_69",45,60,50,65,"C",24.9739833333333
"70","subRE1_70",55,47,58,52,"C",18.3443
"71","subRE1_71",67,65,69,65,"C",21.64345
"72","subRE1_72",93,58,90,73,"C",28.9779
"73","subRE1_73",94,22,61,83,"B",16.1793166666667
"74","subRE1_74",67,65,69,65,"C",16.9921833333333
"75","subRE1_75",21,10,10,82,"C",22.6922833333333
"76","subRE1_76",55,52,55,54,"C",15.8555666666667
"77","subRE1_77",100,95,80,100,"C",29.0993333333333
"78","subRE1_78",90,70,65,100,"C",28.2597333333333
"79","subRE1_79",43,44,45,42,"C",20.4054333333333
"80","subRE1_80",57,23,10,82,"C",21.81735
"81","subRE1_81",50,50,55,43,"C",34.4109833333333
"82","subRE1_82",44,41,48,54,"C",19.1036666666667
"83","subRE1_83",80,40,75,85,"C",22.4352666666667
"84","subRE1_84",51,55,56,50,"C",26.5932
"85","subRE1_85",57,80,24,55,"C",18.2839166666667
"86","subRE1_86",31,28,16,30,"C",17.5344
"87","subRE1_87",65,75,12,100,"C",22.6935833333333
"88","subRE1_88",67,65,69,65,"C",39.2629833333333
"89","subRE1_89",83,40,69,71,"C",18.3848666666667
"90","subRE1_90",63,50,69,55,"C",25.2875166666667
"91","subRE1_91",60,55,65,40,"C",21.8656
"92","subRE1_92",35,26,3,92,"C",22.7349166666667
"93","subRE1_93",54,42,57,50,"C",21.18665
"94","subRE1_94",45,40,47,41,"C",16.8306833333333
"95","subRE1_95",84,97,79,91,"C",18.8445
"96","subRE1_96",67,65,69,65,"C",25.2136166666667
"97","subRE1_97",80,82,17,24,"C",19.02915
"98","subRE1_98",45,53,48,45,"C",23.6059333333333
"99","subRE1_99",31,30,39,21,"C",33.1412
"100","subRE1_100",59,24,26,83,"C",16.0645333333333
