"","uid","choice","trialReward1","trialEffortPropMax2","trialNo","trialEffort2","trialEffort1","trialEffortPropMax1","trialEndTime","pressCount","coinsRunningTotal","trialSuccess","effortTimeLimit","choiceRT","trialReward2","pressTimes","trialStartTime","condition","meanPressLag","studyStartTime","nTrials","ID","deltaReward","deltaEffort","effortChosen","effortUnchosen","deltaEffortSigned","higherEffChosen","highEffortOption","rewardChosen","rewardUnchosen","higherRewChosen","highRewardOption","taskNo","group","maxPressCount"
"26","subRE1_1","route 2",4,0.75,12,42,11,0.2,1371007,42,13,1,10000,1315,6,"see raw data",1355329,"planning",181.731707317073,"15:30:40",88,1,2,0.55,0.75,0.2,0.55,1,0.75,6,4,1,6,2,"planning",56
"27","subRE1_1","route 2",3,0.95,13,53,20,0.35,462975,53,18,1,10000,2513,5,"see raw data",444314,"baseline",176.826923076923,"15:30:40",88,1,2,0.6,0.95,0.35,0.6,1,0.95,5,3,1,5,1,"planning",56
"28","subRE1_1","route 2",3,0.95,13,53,20,0.35,1391937,53,18,1,10000,3250,5,"see raw data",1371007,"planning",177.576923076923,"15:30:40",88,1,2,0.6,0.95,0.35,0.6,1,0.95,5,3,1,5,2,"planning",56
"29","subRE1_1","route 2",1,0.2,14,11,53,0.95,473517,11,26,1,10000,1772,8,"see raw data",462975,"baseline",185.4,"15:30:40",88,1,7,0.75,0.2,0.95,-0.75,0,0.95,8,1,1,8,1,"planning",56
"30","subRE1_1","route 2",1,0.2,14,11,53,0.95,1404204,12,26,1,10000,3098,8,"see raw data",1391937,"planning",190.363636363636,"15:30:40",88,1,7,0.75,0.2,0.95,-0.75,0,0.95,8,1,1,8,2,"planning",56
"31","subRE1_1","route 1",4,0.35,15,20,42,0.75,490081,42,30,1,10000,2228,3,"see raw data",473517,"baseline",179.365853658537,"15:30:40",88,1,1,0.4,0.75,0.35,0.4,1,0.75,4,3,1,4,1,"planning",56
"32","subRE1_1","route 1",4,0.35,15,20,42,0.75,1420902,42,30,1,10000,2321,3,"see raw data",1404204,"planning",176.414634146341,"15:30:40",88,1,1,0.4,0.75,0.35,0.4,1,0.75,4,3,1,4,2,"planning",56
"33","subRE1_1","route 1",6,0.2,16,11,31,0.55,506626,31,36,1,10000,4202,5,"see raw data",490081,"baseline",181.233333333333,"15:30:40",88,1,1,0.35,0.55,0.2,0.35,1,0.55,6,5,1,6,1,"planning",56
"34","subRE1_1","route 1",6,0.2,16,11,31,0.55,1434663,31,36,1,10000,1559,5,"see raw data",1420902,"planning",177.466666666667,"15:30:40",88,1,1,0.35,0.55,0.2,0.35,1,0.55,6,5,1,6,2,"planning",56
"35","subRE1_1","route 1",5,0.2,17,11,53,0.95,525859,54,41,1,10000,2890,3,"see raw data",506626,"baseline",179.849056603774,"15:30:40",88,1,2,0.75,0.95,0.2,0.75,1,0.95,5,3,1,5,1,"planning",56
"36","subRE1_1","route 2",5,0.2,17,11,53,0.95,1445194,11,39,1,10000,1943,3,"see raw data",1434663,"planning",174.727272727273,"15:30:40",88,1,2,0.75,0.2,0.95,-0.75,0,0.95,3,5,0,5,2,"planning",56
"37","subRE1_1","route 1",5,0.35,18,20,53,0.95,543799,53,46,1,10000,1671,4,"see raw data",525859,"baseline",183.269230769231,"15:30:40",88,1,1,0.6,0.95,0.35,0.6,1,0.95,5,4,1,5,1,"planning",56
"38","subRE1_1","route 2",5,0.35,18,20,53,0.95,1456909,20,43,1,10000,1594,4,"see raw data",1445194,"planning",173.789473684211,"15:30:40",88,1,1,0.6,0.35,0.95,-0.6,0,0.95,4,5,0,5,2,"planning",56
"39","subRE1_1","route 1",5,0.2,19,11,53,0.95,567033,52,46,0,10000,1655,3,"see raw data",543799,"baseline",185.711538461538,"15:30:40",88,1,2,0.75,0.95,0.2,0.75,1,0.95,5,3,1,5,1,"planning",56
"40","subRE1_1","route 2",5,0.2,19,11,53,0.95,1469861,12,46,1,10000,4176,3,"see raw data",1456909,"planning",170.363636363636,"15:30:40",88,1,2,0.75,0.2,0.95,-0.75,0,0.95,3,5,0,5,2,"planning",56
"41","subRE1_1","route 1",7,0.55,20,31,53,0.95,1487832,53,53,1,10000,2031,4,"see raw data",1469861,"planning",174,"15:30:40",88,1,3,0.4,0.95,0.55,0.4,1,0.95,7,4,1,7,2,"planning",56
"42","subRE1_1","route 1",7,0.55,20,31,53,0.95,588084,54,53,1,10000,4867,4,"see raw data",567033,"baseline",176.018867924528,"15:30:40",88,1,3,0.4,0.95,0.55,0.4,1,0.95,7,4,1,7,1,"planning",56
"43","subRE1_1","route 1",7,0.2,21,11,42,0.75,1505406,42,60,1,10000,2782,6,"see raw data",1487832,"planning",191.707317073171,"15:30:40",88,1,1,0.55,0.75,0.2,0.55,1,0.75,7,6,1,7,2,"planning",56
"44","subRE1_1","route 1",7,0.2,21,11,42,0.75,604484,42,60,1,10000,1542,6,"see raw data",588084,"baseline",194.19512195122,"15:30:40",88,1,1,0.55,0.75,0.2,0.55,1,0.75,7,6,1,7,1,"planning",56
"45","subRE1_1","route 2",4,0.55,22,31,53,0.95,1538235,31,3,1,10000,2754,3,"see raw data",1523157,"planning",180.4,"15:30:40",88,1,1,0.4,0.55,0.95,-0.4,0,0.95,3,4,0,4,2,"planning",56
"46","subRE1_1","route 2",4,0.55,22,31,53,0.95,636738,31,3,1,10000,2803,3,"see raw data",621565,"baseline",180.966666666667,"15:30:40",88,1,1,0.4,0.55,0.95,-0.4,0,0.95,3,4,0,4,1,"planning",56
"47","subRE1_1","route 2",4,0.95,23,53,11,0.2,656629,54,9,1,10000,3737,6,"see raw data",636738,"baseline",176.452830188679,"15:30:40",88,1,2,0.75,0.95,0.2,0.75,1,0.95,6,4,1,6,1,"planning",56
"48","subRE1_1","route 1",4,0.95,23,53,11,0.2,1549360,11,7,1,10000,2554,6,"see raw data",1538235,"planning",158.6,"15:30:40",88,1,2,0.75,0.2,0.95,-0.75,0,0.95,4,6,0,6,2,"planning",56
"49","subRE1_1","route 2",3,0.55,24,31,20,0.35,671165,32,16,1,10000,1969,7,"see raw data",656629,"baseline",182.516129032258,"15:30:40",88,1,4,0.2,0.55,0.35,0.2,1,0.55,7,3,1,7,1,"planning",56
"50","subRE1_1","route 2",3,0.55,24,31,20,0.35,1562986,31,14,1,10000,1642,7,"see raw data",1549360,"planning",172.258064516129,"15:30:40",88,1,4,0.2,0.55,0.35,0.2,1,0.55,7,3,1,7,2,"planning",56
"51","subRE1_1","route 1",7,0.2,25,11,20,0.35,1577079,21,21,1,10000,3558,6,"see raw data",1562986,"planning",179.65,"15:30:40",88,1,1,0.15,0.35,0.2,0.15,1,0.35,7,6,1,7,2,"planning",56
"52","subRE1_1","route 1",7,0.2,25,11,20,0.35,685797,20,23,1,10000,4069,6,"see raw data",671165,"baseline",191.421052631579,"15:30:40",88,1,1,0.15,0.35,0.2,0.15,1,0.35,7,6,1,7,1,"planning",56
"53","subRE1_1","route 2",4,0.75,26,42,11,0.2,1594406,42,27,1,10000,2561,6,"see raw data",1577079,"planning",191.560975609756,"15:30:40",88,1,2,0.55,0.75,0.2,0.55,1,0.75,6,4,1,6,2,"planning",56
"54","subRE1_1","route 2",4,0.75,26,42,11,0.2,701882,42,29,1,10000,1546,6,"see raw data",685797,"baseline",184.09756097561,"15:30:40",88,1,2,0.55,0.75,0.2,0.55,1,0.75,6,4,1,6,1,"planning",56
"55","subRE1_1","route 1",8,0.95,27,53,11,0.2,1612524,11,35,1,10000,7740,1,"see raw data",1594406,"planning",213.9,"15:30:40",88,1,7,0.75,0.2,0.95,-0.75,0,0.95,8,1,1,8,2,"planning",56
"56","subRE1_1","route 1",8,0.95,27,53,11,0.2,719531,11,37,1,10000,8707,1,"see raw data",701882,"baseline",199.4,"15:30:40",88,1,7,0.75,0.2,0.95,-0.75,0,0.95,8,1,1,8,1,"planning",56
"57","subRE1_1","route 1",7,0.35,28,20,42,0.75,1631037,42,42,1,10000,3811,6,"see raw data",1612524,"planning",190.414634146341,"15:30:40",88,1,1,0.4,0.75,0.35,0.4,1,0.75,7,6,1,7,2,"planning",56
"58","subRE1_1","route 1",7,0.35,28,20,42,0.75,736416,43,44,1,10000,1870,6,"see raw data",719531,"baseline",194.928571428571,"15:30:40",88,1,1,0.4,0.75,0.35,0.4,1,0.75,7,6,1,7,1,"planning",56
"59","subRE1_1","route 1",3,0.95,29,53,20,0.35,753183,20,47,1,10000,6546,4,"see raw data",736416,"baseline",178.157894736842,"15:30:40",88,1,1,0.6,0.35,0.95,-0.6,0,0.95,3,4,0,4,1,"planning",56
"60","subRE1_1","route 1",3,0.95,29,53,20,0.35,1644413,20,45,1,10000,3063,4,"see raw data",1631037,"planning",179.05,"15:30:40",88,1,1,0.6,0.35,0.95,-0.6,0,0.95,3,4,0,4,2,"planning",56
"61","subRE1_1","route 1",6,0.2,30,11,20,0.35,769445,20,53,1,10000,6168,5,"see raw data",753183,"baseline",172.65,"15:30:40",88,1,1,0.15,0.35,0.2,0.15,1,0.35,6,5,1,6,1,"planning",56
"62","subRE1_1","route 1",6,0.2,30,11,20,0.35,1658082,21,51,1,10000,3312,5,"see raw data",1644413,"planning",175.65,"15:30:40",88,1,1,0.15,0.35,0.2,0.15,1,0.35,6,5,1,6,2,"planning",56
"63","subRE1_1","route 2",3,0.55,31,31,11,0.2,1697784,31,56,1,10000,27322,5,"see raw data",1658082,"planning",182.266666666667,"15:30:40",88,1,2,0.35,0.55,0.2,0.35,1,0.55,5,3,1,5,2,"planning",56
"64","subRE1_1","route 2",3,0.55,31,31,11,0.2,784938,31,58,1,10000,2485,5,"see raw data",769445,"baseline",190.366666666667,"15:30:40",88,1,2,0.35,0.55,0.2,0.35,1,0.55,5,3,1,5,1,"planning",56
"65","subRE1_1","route 1",7,0.2,32,11,53,0.95,810266,50,58,0,10000,3750,3,"see raw data",784938,"baseline",191.122448979592,"15:30:40",88,1,4,0.75,0.95,0.2,0.75,1,0.95,7,3,1,7,1,"planning",56
"66","subRE1_1","route 1",7,0.2,32,11,53,0.95,1716579,53,63,1,10000,2612,3,"see raw data",1697784,"planning",176.346153846154,"15:30:40",88,1,4,0.75,0.95,0.2,0.75,1,0.95,7,3,1,7,2,"planning",56
"67","subRE1_1","route 1",6,0.75,33,42,11,0.2,1745899,12,6,1,10000,1445,7,"see raw data",1735915,"planning",157.727272727273,"15:30:40",88,1,1,0.55,0.2,0.75,-0.55,0,0.75,6,7,0,7,2,"planning",56
"68","subRE1_1","route 2",6,0.75,33,42,11,0.2,842892,43,7,1,10000,2809,7,"see raw data",825523,"baseline",181.833333333333,"15:30:40",88,1,1,0.55,0.75,0.2,0.55,1,0.75,7,6,1,7,1,"planning",56
"69","subRE1_1","route 1",4,0.55,34,31,20,0.35,1758993,20,10,1,10000,2535,5,"see raw data",1745899,"planning",184.7,"15:30:40",88,1,1,0.2,0.35,0.55,-0.2,0,0.55,4,5,0,5,2,"planning",56
"70","subRE1_1","route 2",4,0.55,34,31,20,0.35,857211,31,12,1,10000,1516,5,"see raw data",842892,"baseline",192.387096774194,"15:30:40",88,1,1,0.2,0.55,0.35,0.2,1,0.55,5,4,1,5,1,"planning",56
"71","subRE1_1","route 2",4,0.95,35,53,31,0.55,874992,53,17,1,10000,1597,5,"see raw data",857211,"baseline",179.173076923077,"15:30:40",88,1,1,0.4,0.95,0.55,0.4,1,0.95,5,4,1,5,1,"planning",56
"72","subRE1_1","route 1",4,0.95,35,53,31,0.55,1773048,31,14,1,10000,1704,5,"see raw data",1758993,"planning",181.3,"15:30:40",88,1,1,0.4,0.55,0.95,-0.4,0,0.95,4,5,0,5,2,"planning",56
"73","subRE1_1","route 1",7,0.35,36,20,31,0.55,1787533,31,21,1,10000,2408,4,"see raw data",1773048,"planning",172,"15:30:40",88,1,3,0.2,0.55,0.35,0.2,1,0.55,7,4,1,7,2,"planning",56
"74","subRE1_1","route 1",7,0.35,36,20,31,0.55,890423,31,24,1,10000,3089,4,"see raw data",874992,"baseline",178.1,"15:30:40",88,1,3,0.2,0.55,0.35,0.2,1,0.55,7,4,1,7,1,"planning",56
"75","subRE1_1","route 2",3,0.95,37,53,11,0.2,910626,53,31,1,10000,2578,7,"see raw data",890423,"baseline",175.519230769231,"15:30:40",88,1,4,0.75,0.95,0.2,0.75,1,0.95,7,3,1,7,1,"planning",56
"76","subRE1_1","route 1",3,0.95,37,53,11,0.2,1799255,11,24,1,10000,1565,7,"see raw data",1787533,"planning",172.2,"15:30:40",88,1,4,0.75,0.2,0.95,-0.75,0,0.95,3,7,0,7,2,"planning",56
"77","subRE1_1","route 1",6,0.55,38,31,53,0.95,931158,53,37,1,10000,4285,3,"see raw data",910626,"baseline",179.22641509434,"15:30:40",88,1,3,0.4,0.95,0.55,0.4,1,0.95,6,3,1,6,1,"planning",56
"78","subRE1_1","route 2",6,0.55,38,31,53,0.95,1813457,31,27,1,10000,1360,3,"see raw data",1799255,"planning",179.166666666667,"15:30:40",88,1,3,0.4,0.55,0.95,-0.4,0,0.95,3,6,0,6,2,"planning",56
"79","subRE1_1","route 2",4,0.95,39,53,20,0.35,955476,46,37,0,10000,2733,6,"see raw data",931158,"baseline",207.826086956522,"15:30:40",88,1,2,0.6,0.95,0.35,0.6,1,0.95,6,4,1,6,1,"planning",56
"80","subRE1_1","route 1",4,0.95,39,53,20,0.35,1826064,20,31,1,10000,2597,6,"see raw data",1813457,"planning",167.210526315789,"15:30:40",88,1,2,0.6,0.35,0.95,-0.6,0,0.95,4,6,0,6,2,"planning",56
"81","subRE1_1","route 2",6,0.2,40,11,42,0.75,1837196,11,35,1,10000,2361,4,"see raw data",1826064,"planning",181.636363636364,"15:30:40",88,1,2,0.55,0.2,0.75,-0.55,0,0.75,4,6,0,6,2,"planning",56
"82","subRE1_1","route 1",6,0.2,40,11,42,0.75,971282,42,43,1,10000,1623,4,"see raw data",955476,"baseline",177.170731707317,"15:30:40",88,1,2,0.55,0.75,0.2,0.55,1,0.75,6,4,1,6,1,"planning",56
"83","subRE1_1","route 2",4,0.95,41,53,42,0.75,1855861,53,41,1,10000,2354,6,"see raw data",1837196,"planning",177.867924528302,"15:30:40",88,1,2,0.2,0.95,0.75,0.2,1,0.95,6,4,1,6,2,"planning",56
"84","subRE1_1","route 1",4,0.95,41,53,42,0.75,989751,42,47,1,10000,4111,6,"see raw data",971282,"baseline",181.190476190476,"15:30:40",88,1,2,0.2,0.75,0.95,-0.2,0,0.95,4,6,0,6,1,"planning",56
"85","subRE1_1","route 2",5,0.55,42,31,11,0.2,1003831,31,54,1,10000,1907,7,"see raw data",989751,"baseline",179.566666666667,"15:30:40",88,1,2,0.35,0.55,0.2,0.35,1,0.55,7,5,1,7,1,"planning",56
"86","subRE1_1","route 1",5,0.55,42,31,11,0.2,1868362,11,46,1,10000,4072,7,"see raw data",1855861,"planning",150.545454545455,"15:30:40",88,1,2,0.35,0.2,0.55,-0.35,0,0.55,5,7,0,7,2,"planning",56
"87","subRE1_1","route 1",6,0.95,43,53,20,0.35,1017876,20,60,1,10000,3627,7,"see raw data",1003831,"baseline",179.7,"15:30:40",88,1,1,0.6,0.35,0.95,-0.6,0,0.95,6,7,0,7,1,"planning",56
"88","subRE1_1","route 1",6,0.95,43,53,20,0.35,1880225,21,52,1,10000,1735,7,"see raw data",1868362,"planning",168.2,"15:30:40",88,1,1,0.6,0.35,0.95,-0.6,0,0.95,6,7,0,7,2,"planning",56
"89","subRE1_2","route 1",7,0.35,0,20,53,0.95,1039771,54,7,1,10000,2550,3,"see raw data",0,"control",161.283018867925,"15:34:36",88,2,4,0.6,0.95,0.35,0.6,1,0.95,7,3,1,7,2,"control",56
"90","subRE1_2","route 2",7,0.35,0,20,53,0.95,202229,21,3,1,10000,6032,3,"see raw data",185433,"baseline",170.85,"15:34:36",88,2,4,0.6,0.35,0.95,-0.6,0,0.95,3,7,0,7,1,"control",56
"91","subRE1_2","route 1",7,0.75,1,42,53,0.95,1056835,54,14,1,10000,1666,4,"see raw data",1039771,"control",160.320754716981,"15:34:36",88,2,3,0.2,0.95,0.75,0.2,1,0.95,7,4,1,7,2,"control",56
"92","subRE1_2","route 1",7,0.75,1,42,53,0.95,221659,53,10,1,10000,3450,4,"see raw data",202229,"baseline",170.557692307692,"15:34:36",88,2,3,0.2,0.95,0.75,0.2,1,0.95,7,4,1,7,1,"control",56
"93","subRE1_2","route 2",4,0.55,2,31,11,0.2,1070133,31,20,1,10000,1716,6,"see raw data",1056835,"control",159.129032258065,"15:34:36",88,2,2,0.35,0.55,0.2,0.35,1,0.55,6,4,1,6,2,"control",56
"94","subRE1_2","route 1",4,0.55,2,31,11,0.2,235874,11,14,1,10000,5266,6,"see raw data",221659,"baseline",175.727272727273,"15:34:36",88,2,2,0.35,0.2,0.55,-0.35,0,0.55,4,6,0,6,1,"control",56
"95","subRE1_2","route 2",5,0.2,3,11,42,0.75,249922,12,18,1,10000,5099,4,"see raw data",235874,"baseline",172.636363636364,"15:34:36",88,2,1,0.55,0.2,0.75,-0.55,0,0.75,4,5,0,5,1,"control",56
"96","subRE1_2","route 1",5,0.2,3,11,42,0.75,1085515,43,25,1,10000,1799,4,"see raw data",1070133,"control",163.047619047619,"15:34:36",88,2,1,0.55,0.75,0.2,0.55,1,0.75,5,4,1,5,2,"control",56
"97","subRE1_2","route 2",5,0.95,4,53,42,0.75,1102730,53,32,1,10000,1665,7,"see raw data",1085515,"control",166.981132075472,"15:34:36",88,2,2,0.2,0.95,0.75,0.2,1,0.95,7,5,1,7,2,"control",56
"98","subRE1_2","route 2",5,0.95,4,53,42,0.75,268603,53,25,1,10000,2750,7,"see raw data",249922,"baseline",171.641509433962,"15:34:36",88,2,2,0.2,0.95,0.75,0.2,1,0.95,7,5,1,7,1,"control",56
"99","subRE1_2","route 1",6,0.55,5,31,53,0.95,287918,53,31,1,10000,3019,3,"see raw data",268603,"baseline",178.867924528302,"15:34:36",88,2,3,0.4,0.95,0.55,0.4,1,0.95,6,3,1,6,1,"control",56
"100","subRE1_2","route 1",6,0.55,5,31,53,0.95,1119894,54,38,1,10000,1750,3,"see raw data",1102730,"control",163.811320754717,"15:34:36",88,2,3,0.4,0.95,0.55,0.4,1,0.95,6,3,1,6,2,"control",56
"101","subRE1_2","route 2",4,0.75,6,42,31,0.55,1135175,42,44,1,10000,1733,6,"see raw data",1119894,"control",164.285714285714,"15:34:36",88,2,2,0.2,0.75,0.55,0.2,1,0.75,6,4,1,6,2,"control",56
"102","subRE1_2","route 2",4,0.75,6,42,31,0.55,305199,42,37,1,10000,3333,6,"see raw data",287918,"baseline",171.09756097561,"15:34:36",88,2,2,0.2,0.75,0.55,0.2,1,0.75,6,4,1,6,1,"control",56
"103","subRE1_2","route 2",3,0.95,7,53,11,0.2,329278,51,37,0,10000,2499,6,"see raw data",305199,"baseline",187.98,"15:34:36",88,2,3,0.75,0.95,0.2,0.75,1,0.95,6,3,1,6,1,"control",56
"104","subRE1_2","route 2",3,0.95,7,53,11,0.2,1152574,53,50,1,10000,1650,6,"see raw data",1135175,"control",172.423076923077,"15:34:36",88,2,3,0.75,0.95,0.2,0.75,1,0.95,6,3,1,6,2,"control",56
"105","subRE1_2","route 2",4,0.35,8,20,11,0.2,1164205,21,55,1,10000,1666,5,"see raw data",1152574,"control",157.45,"15:34:36",88,2,1,0.15,0.35,0.2,0.15,1,0.35,5,4,1,5,2,"control",56
"106","subRE1_2","route 2",4,0.35,8,20,11,0.2,342844,20,42,1,10000,3183,5,"see raw data",329278,"baseline",169.15,"15:34:36",88,2,1,0.15,0.35,0.2,0.15,1,0.35,5,4,1,5,1,"control",56
"107","subRE1_2","route 1",6,0.35,9,20,53,0.95,1181403,53,61,1,10000,1666,3,"see raw data",1164205,"control",168.188679245283,"15:34:36",88,2,3,0.6,0.95,0.35,0.6,1,0.95,6,3,1,6,2,"control",56
"108","subRE1_2","route 1",6,0.35,9,20,53,0.95,360941,53,48,1,10000,2316,3,"see raw data",342844,"baseline",173.038461538462,"15:34:36",88,2,3,0.6,0.95,0.35,0.6,1,0.95,6,3,1,6,1,"control",56
"109","subRE1_2","route 1",4,0.2,10,11,20,0.35,1193085,20,65,1,10000,1716,3,"see raw data",1181403,"control",161.65,"15:34:36",88,2,1,0.15,0.35,0.2,0.15,1,0.35,4,3,1,4,2,"control",56
"110","subRE1_2","route 1",4,0.2,10,11,20,0.35,373539,21,52,1,10000,2433,3,"see raw data",360941,"baseline",165.666666666667,"15:34:36",88,2,1,0.15,0.35,0.2,0.15,1,0.35,4,3,1,4,1,"control",56
"111","subRE1_2","route 2",5,0.75,11,42,31,0.55,417817,43,7,1,10000,2233,7,"see raw data",401802,"baseline",162.666666666667,"15:34:36",88,2,2,0.2,0.75,0.55,0.2,1,0.75,7,5,1,7,1,"control",56
"112","subRE1_2","route 2",5,0.75,11,42,31,0.55,1225614,43,7,1,10000,1813,7,"see raw data",1210216,"control",161.071428571429,"15:34:36",88,2,2,0.2,0.75,0.55,0.2,1,0.75,7,5,1,7,2,"control",56
"113","subRE1_2","route 2",4,0.75,12,42,11,0.2,1241095,42,13,1,10000,1683,6,"see raw data",1225614,"control",171.02380952381,"15:34:36",88,2,2,0.55,0.75,0.2,0.55,1,0.75,6,4,1,6,2,"control",56
